iter	RMSE
0	0.9806090903
1	0.9628727646
2	0.9435303768
3	0.9279440399
4	0.911994396
5	0.8941476804
6	0.8775404013
7	0.8632318333
8	0.8485747915
9	0.833137245
10	0.8194241365
11	0.8032589801
12	0.7890721917
13	0.7743005189
14	0.7604393138
15	0.7468639366
16	0.7358506507
17	0.72428178
18	0.7113671929
19	0.6995415961
20	0.6887943637
21	0.6784315887
22	0.6688783635
23	0.6577023839
24	0.6468491106
25	0.635467984
26	0.6269709329
27	0.6172318547
28	0.6077493601
29	0.5997173111
30	0.5897212475
31	0.5802014297
32	0.5718660867
33	0.5634002367
34	0.5561380125
35	0.5472396385
36	0.5393190807
37	0.5312156446
38	0.5234413366
39	0.5158190646
40	0.5083596021
41	0.5016854577
42	0.4950618719
43	0.4874788275
44	0.4812284429
45	0.4751315627
46	0.4695169309
47	0.4625597541
48	0.4557686818
49	0.4494460767
50	0.4434485156
51	0.4376011562
52	0.4324189569
53	0.4272975349
54	0.421718654
55	0.416795854
56	0.4119625395
57	0.4070961664
58	0.402160664
59	0.3976386382
60	0.3933971966
61	0.3887706117
62	0.3848267245
63	0.3805767239
64	0.3762070258
65	0.3720999851
66	0.3684440872
67	0.3644474246
68	0.3604109517
69	0.356664725
70	0.3536390743
71	0.349820093
72	0.3464513898
73	0.3429509292
74	0.3397085556
75	0.3365377491
76	0.3334813608
77	0.3302828725
78	0.3272793917
79	0.32466429
80	0.3216738524
81	0.319238542
82	0.3166949907
83	0.3139841224
84	0.3111269349
85	0.3087622679
86	0.3065508234
87	0.3040376153
88	0.3012157166
89	0.2988475664
90	0.2966904466
91	0.2940358138
92	0.2918369698
93	0.2901714321
94	0.2879499031
95	0.2854341598
96	0.2840298696
97	0.2819496914
98	0.2801226381
99	0.2784848789
100	0.2768769111
101	0.2752255237
102	0.2734901673
103	0.2715685674
104	0.2698823267
105	0.2681615349
106	0.2661824391
107	0.2645290185
108	0.2625335148
109	0.2610178955
110	0.2591886819
111	0.2575696041
112	0.2559558724
113	0.2543196535
114	0.2525804609
115	0.2510503108
116	0.2495345734
117	0.2482246683
118	0.2468643481
119	0.2456643958
120	0.2446596173
121	0.2434126278
122	0.2423119918
123	0.2409887249
124	0.2396402694
125	0.2386943743
126	0.237971291
127	0.2370134413
128	0.235959518
129	0.2347409865
130	0.2337531225
131	0.2329281105
132	0.2321052864
133	0.2309277261
134	0.2299183246
135	0.228893307
136	0.2278003377
137	0.227078151
138	0.226187945
139	0.2257554548
140	0.2247751747
141	0.2237328163
142	0.2229663791
143	0.2221796787
144	0.2214019985
145	0.2203235689
146	0.2195322616
147	0.2186128677
148	0.2176532006
149	0.2171453222
150	0.216291483
151	0.215246716
152	0.2144979499
153	0.2137876825
154	0.213071
155	0.2122398741
156	0.21143429
157	0.2104565039
158	0.2096289763
159	0.2091118502
160	0.2084539573
161	0.207848907
162	0.2071013473
163	0.2063181067
164	0.2056780569
165	0.2048744552
166	0.2044960009
167	0.2038104826
168	0.203192373
169	0.2028670927
170	0.2022532495
171	0.2017469335
172	0.2011304359
173	0.2004630614
174	0.1998554371
175	0.1992796517
176	0.1988754941
177	0.1984345728
178	0.1979556781
179	0.197431884
180	0.1969444642
181	0.1963057977
182	0.195631942
183	0.1951485402
184	0.1946710042
185	0.1942758829
186	0.1938532689
187	0.1933624839
188	0.1929272155
189	0.192441928
190	0.1918815382
191	0.1914959417
192	0.1908695154
193	0.1903652172
194	0.1901640982
195	0.1900630503
196	0.1894256272
197	0.1888840496
198	0.1886349124
199	0.1879956421
200	0.187526676
201	0.1872511023
202	0.1867934958
203	0.1861850689
204	0.1856616161
205	0.1852032525
206	0.1845750119
207	0.1841294449
208	0.1838747076
209	0.1837767852
210	0.1832008258
211	0.1826749899
212	0.1820794221
213	0.181642895
214	0.181193378
215	0.1806896831
216	0.1803932095
217	0.1797987561
218	0.1793684409
219	0.178927215
220	0.178521533
221	0.17842959
222	0.1781870497
223	0.1779560122
224	0.1775416842
225	0.1771534646
226	0.1768945589
227	0.1764907565
228	0.1761661181
229	0.1759455207
230	0.1757324839
231	0.1754121743
232	0.1752064748
233	0.1750070027
234	0.1746444053
235	0.1745872657
236	0.1742324248
237	0.1739086561
238	0.1738140207
239	0.1731981038
240	0.1730472567
241	0.1726126531
242	0.1723052112
243	0.1720458526
244	0.1717289803
245	0.1713374435
246	0.1707431321
247	0.1703865774
248	0.1700839017
249	0.1696027752
250	0.1695476442
251	0.1692828674
252	0.1688380177
253	0.1686622422
254	0.1686095567
255	0.1682029623
256	0.1679667324
257	0.1678083126
258	0.167612209
259	0.1673767581
260	0.167160508
261	0.1667662647
262	0.1666368017
263	0.1663588202
264	0.1660334536
265	0.1657426883
266	0.165361033
267	0.1651095652
268	0.164938039
269	0.1646270354
270	0.1642480916
271	0.1641228278
272	0.1636654021
273	0.1632933395
274	0.1627763873
275	0.1624611118
276	0.1621712619
277	0.1617414764
278	0.1614678042
279	0.1612335695
280	0.161104144
281	0.1608545821
282	0.1606357588
283	0.1605195368
284	0.1604153112
285	0.1602033409
286	0.1601022958
287	0.1599507894
288	0.1598080876
289	0.159417934
290	0.1593300357
291	0.159145181
292	0.1588093244
293	0.1582080587
294	0.1581240634
295	0.1580429789
296	0.1579074649
297	0.1575668689
298	0.1573619113
299	0.1573319163
300	0.1572679711
301	0.1571481635
302	0.1567070107
303	0.1566479386
304	0.1565530891
305	0.1564766659
306	0.1560884893
307	0.1559450584
308	0.1559186517
309	0.1553755743
310	0.155131381
311	0.1550268435
312	0.1547077924
313	0.1546033384
314	0.1545736795
315	0.15426616
316	0.1542368795
317	0.1541509276
318	0.1540351883
319	0.1536868268
320	0.1535324257
321	0.1533622869
322	0.1532303772
323	0.1527599508
324	0.1527379585
325	0.1524976973
326	0.152145204
327	0.1517584334
328	0.1516511306
329	0.1512848726
330	0.1508149049
331	0.1505641772
332	0.1504144633
333	0.1500356053
334	0.149661789
335	0.1495659984
336	0.1493124457
337	0.1491060707
338	0.1486333976
339	0.1483929333
340	0.1481324647
341	0.148024179
342	0.1479503528
343	0.1478430352
344	0.1476273552
345	0.1474859485
346	0.1471026221
347	0.1468818093
348	0.1464619986
349	0.1463009545
350	0.146119946
351	0.1460689952
352	0.1460190336
353	0.1456813146
354	0.1452472074
355	0.1448360807
356	0.1444654718
357	0.1440467563
358	0.1439991003
359	0.1438190033
360	0.1436553035
361	0.1433700455
362	0.1432160032
363	0.1431443872
364	0.1427840078
365	0.1427007875
366	0.1422550976
367	0.1419496187
368	0.1416324651
369	0.1411737693
370	0.1407891866
371	0.1404024297
372	0.1399916694
373	0.139663455
374	0.1393928394
375	0.1391259669
376	0.1390080963
377	0.138693285
378	0.1384720224
379	0.1383168605
380	0.1379867643
381	0.1377617045
382	0.1376106832
383	0.137568564
384	0.1373363593
385	0.1371641485
